2018-04-15T09.33.21  |47577, 0821310709210652F9
2018-04-15T09.33.21  |47703, 053121FF03D5
2018-04-15T09.33.21  |47787, 0521310960A1
2018-04-15T09.33.22  |47915, 053121FF03D5
2018-04-15T09.33.22  |48036, 0821310B000021649F
2018-04-15T09.33.22  |48103, 05
2018-04-15T09.33.22  |48132, 0000FF
2018-04-15T09.33.22  |48153, 03D5
2018-04-15T09.33.22  |48245, 0621312900E0CB
2018-04-15T09.33.22  |48365, 053121C003D5
2018-04-15T09.33.22  |48454, 052131066003
2018-04-15T09.33.22  |48536, 0931
2018-04-15T09.33.22  |48553, 21FB
2018-04-15T09.33.22  |48573, 0000
2018-04-15T09.33.22  |48616, 0000F300
2018-04-15T09.34.21  |107550, 0001310709220658F9
2018-04-15T09.34.21  |107684, 053121FF03D5
2018-04-15T09.34.21  |107770, 052131090001
2018-04-15T09.34.21  |107852, 0531
2018-04-15T09.34.22  |107892, 01FF03D5
2018-04-15T09.34.22  |108008, 0021310B0000216490
2018-04-15T09.34.22  |108132, 053121FF03D5
2018-04-15T09.34.22  |108227, 0621312900E0CB
2018-04-15T09.34.22  |108302, 0531
2018-04-15T09.34.22  |108342, 21FF03D5
2018-04-15T09.34.22  |108427, 052131066083
2018-04-15T09.34.22  |108572, 093121FB00000000
2018-04-15T09.34.22  |108592, F3CC
2018-04-15T09.35.21  |167583, 00010107090306DEFA
2018-04-15T09.35.21  |167689, 050101E003D5
2018-04-15T09.35.21  |167773, 0501310900A1
2018-04-15T09.35.22  |167880, 050101FF
2018-04-15T09.35.22  |167898, 03D5
2018-04-15T09.35.22  |168012, 0001310B0000226495
2018-04-15T09.35.22  |168088, 05
2018-04-15T09.35.22  |168118, 0100FF
2018-04-15T09.35.22  |168137, 03D5
2018-04-15T09.35.22  |168231, 060001290000CB
2018-04-15T09.35.22  |168298, 05
2018-04-15T09.35.22  |168347, 0101FF03D5
2018-04-15T09.35.22  |168430, 050121060003
2018-04-15T09.35.22  |168508, 09
2018-04-15T09.35.22  |168601, 0101FB0000000003CC
2018-04-15T09.47.22  |33190, 00213107092F06F6FA
2018-04-15T09.47.22  |33258, 0531
2018-04-15T09.47.22  |33278, 01FF
2018-04-15T09.47.22  |33298, 03D5
2018-04-15T09.47.22  |33379, 0501310900A1
2018-04-15T09.47.22  |33480, 053121FF03D5
2018-04-15T09.47.22  |33598, 0021310B0000226495
2018-04-15T09.47.22  |33699, 053101FF
2018-04-15T09.47.22  |33718, 03D5
2018-04-15T09.47.22  |33818, 060131290000CB
2018-04-15T09.47.22  |33929, 053101FF03D5
2018-04-15T09.47.22  |34017, 050131060083
2018-04-15T09.47.22  |34119, 093101FB
2018-04-15T09.47.23  |34150, 000000
2018-04-15T09.47.23  |34178, 00F3CC
2018-04-15T09.48.21  |93174, 0821310709300634F9
2018-04-15T09.48.21  |93239, 05
2018-04-15T09.48.21  |93269, 0101FF
2018-04-15T09.48.21  |93288, 0005
2018-04-15T09.48.21  |93373, 0501010100A1
2018-04-15T09.48.22  |93478, 050101FF
2018-04-15T09.48.22  |93497, 00D5
2018-04-15T09.48.22  |93612, 0001010B0000226495
2018-04-15T09.48.22  |93689, 05
2018-04-15T09.48.22  |93738, 0101FF03D5
2018-04-15T09.48.22  |93831, 060121290000CB
2018-04-15T09.48.22  |93898, 05
2018-04-15T09.48.22  |93927, 0101FF
2018-04-15T09.48.22  |93947, 03D5
2018-04-15T09.48.22  |94030, 050131060003
2018-04-15T09.48.22  |94108, 01
2018-04-15T09.48.22  |94200, 0101FB00000000F3CC
2018-04-15T09.49.21  |153196, 08213107093106B2FA
2018-04-15T09.49.21  |153325, 050101FF03D5
2018-04-15T09.49.21  |153415, 050101090000
2018-04-15T09.49.22  |153525, 050101FF03D5
2018-04-15T09.49.22  |153645, 0001010B0000006495
2018-04-15T09.49.22  |153736, 050101FF
2018-04-15T09.49.22  |153754, 03D5
2018-04-15T09.49.22  |153854, 060121290000CB
2018-04-15T09.49.22  |153946, 050101FF
2018-04-15T09.49.22  |153965, 00D5
2018-04-15T09.49.22  |154054, 050101060003
2018-04-15T09.49.22  |154126, 01
2018-04-15T09.49.22  |154216, 0101FB00000000F3CC
2018-04-15T10.03.27  |105123, 082131070A03069EC5
2018-04-15T10.03.27  |105195, 0531
2018-04-15T10.03.27  |105234, 21FF03D5
2018-04-15T10.03.27  |105323, 0521310960A1
2018-04-15T10.03.27  |105416, 053121
2018-04-15T10.03.27  |105444, FF03D5
2018-04-15T10.03.27  |105562, 0821310B0000226400
2018-04-15T10.03.28  |105684, 053121FF03D5
2018-04-15T10.03.28  |105781, 0621312900E0CB
2018-04-15T10.03.28  |105894, 053121FF03D5
2018-04-15T10.03.28  |105980, 052131066083
2018-04-15T10.03.28  |106114, 093121FB000000
2018-04-15T10.03.28  |106144, 00F3CC
2018-04-15T10.04.21  |165136, 082131070A04060CC6
2018-04-15T10.04.21  |165238, 053121FF03D5
2018-04-15T10.04.21  |165326, 052131096001
2018-04-15T10.04.22  |165448, 053121FF03D5
2018-04-15T10.04.22  |165565, 0821310B000023E490
2018-04-15T10.04.22  |165649, 0531
2018-04-15T10.04.22  |165688, 21FF03D5
2018-04-15T10.04.22  |165784, 0621312900E0CB
2018-04-15T10.04.22  |165898, 053121FF03D5
2018-04-15T10.04.22  |165983, 052131066083
2018-04-15T10.04.22  |166090, 093121FB
2018-04-15T10.04.22  |166131, 00000000
2018-04-15T10.04.22  |166148, F3CC
2018-04-15T10.05.21  |225140, 082131070A05068AC5
2018-04-15T10.05.21  |225193, 05
2018-04-15T10.05.21  |225222, 3121FF
2018-04-15T10.05.21  |225245, 03D5
2018-04-15T10.05.21  |225329, 0521310100A1
2018-04-15T10.05.22  |225454, 053121FF03D5
2018-04-15T10.05.22  |225568, 0821310B000023E490
2018-04-15T10.05.22  |225645, 05
2018-04-15T10.05.22  |225676, 3121FF
2018-04-15T10.05.22  |225693, 03D5
2018-04-15T10.05.22  |225787, 0601312900E0CB
2018-04-15T10.05.22  |225883, 053121FF
2018-04-15T10.05.22  |225905, 03D5
2018-04-15T10.05.22  |225987, 052131066083
2018-04-15T10.05.22  |226094, 093121FB
2018-04-15T10.05.22  |226154, 00000000F3CC
2018-04-15T10.06.21  |285143, 082131070A060680C5
2018-04-15T10.06.21  |285263, 053121FE03D5
2018-04-15T10.06.21  |285353, 052131096001
2018-04-15T10.06.21  |285432, 0531
2018-04-15T10.06.22  |285472, 21FF03D5
2018-04-15T10.06.22  |285591, 0821310B000023E490
2018-04-15T10.06.23  |285673, 0531
2018-04-15T10.06.23  |285711, 21FF03D5
2018-04-15T10.06.24  |285810, 0621312900E0CB
2018-04-15T10.06.24  |285880, 0531
2018-04-15T10.06.24  |285920, 21FF03D5
2018-04-15T10.06.25  |286009, 052131066083
2018-04-15T10.06.25  |286160, 093121FB00000000F3CC
2018-04-15T10.07.21  |345156, 082131070A070606C6
2018-04-15T10.07.21  |345284, 053121FF03D5
2018-04-15T10.07.21  |345375, 0521310960A1
2018-04-15T10.07.22  |345474, 053121FF
2018-04-15T10.07.22  |345493, 03D5
